,doc_id,author,authoryearofbirth,authoryearofdeath,no_words,len,Gut_id
0,Sense from Thought Divide,"Clifton, Mark",1906.0,1963.0,13273,13273,Gut_9228
0,The White Flag,"Stratton-Porter, Gene",1863.0,1924.0,129502,129502,Gut_38322
0,Demonology and Devil-lore,"Conway, Moncure Daniel",1832.0,1907.0,263767,263767,Gut_23558
0,"A Life for a Life, Volume 1 (of 3)","Craik, Dinah Maria Mulock",1826.0,1887.0,50464,50464,Gut_29250
0,Index of the Project Gutenberg Works of Bertrand Russell,"Russell, Bertrand",1872.0,1970.0,6674,6674,Gut_37964
0,True Love's Reward: A Sequel to Mona,"Sheldon, Georgie, Mrs.",1843.0,1926.0,69702,69702,Gut_3144
0,"Kimiko, and Other Japanese Sketches","Hearn, Lafcadio",1850.0,1904.0,8282,8282,Gut_24319
0,"Riding Recollections, 5th ed.","Whyte-Melville, G. J. (George John)",1821.0,1878.0,65562,65562,Gut_19267
0,The Rise of the Dutch Republic — Volume 24: 1576-77,"Motley, John Lothrop",1814.0,1877.0,16217,16217,Gut_29439
0,"The Reign of Henry the Eighth, Volume 1 (of 3)","Froude, James Anthony",1818.0,1894.0,209888,209888,Gut_3947
0,The Parisians — Volume 11,"Lytton, Edward Bulwer Lytton, Baron",1803.0,1873.0,35218,35218,Gut_40451
0,"Essays on Life, Art and Science","Butler, Samuel",1835.0,1902.0,65792,65792,Gut_18528
0,The Wandering Jew — Volume 06,"Sue, Eugène",1804.0,1857.0,45939,45939,Gut_17560
0,The Return of Dr. Fu-Manchu,"Rohmer, Sax",1883.0,1959.0,72882,72882,Gut_1248
0,Vendetta: A Story of One Forgotten,"Corelli, Marie",1855.0,1924.0,141356,141356,Gut_26015
0,Vigorish,"Berryman, John",1919.0,1988.0,11895,11895,Gut_10577
0,The Autocrat of the Breakfast-Table,"Holmes, Oliver Wendell",1809.0,1894.0,88706,88706,Gut_40207
0,"Adventures of an Angler in Canada, Nova Scotia and the United States","Lanman, Charles",1819.0,1895.0,67842,67842,Gut_33701
0,A Son of the Middle Border,"Garland, Hamlin",1860.0,1940.0,144792,144792,Gut_13762
0,The Strength of Gideon and Other Stories,"Dunbar, Paul Laurence",1872.0,1906.0,60431,60431,Gut_4198
