,doc_id,author
0,The Adventures of Old Man Coyote,"Burgess, Thornton W. (Thornton Waldo)"
1,Mrs. Peter Rabbit,"Burgess, Thornton W. (Thornton Waldo)"
2,Buster Bear's Twins,"Burgess, Thornton W. (Thornton Waldo)"
3,The Adventures of Johnny Chuck,"Burgess, Thornton W. (Thornton Waldo)"
4,The Adventures of Prickly Porky,"Burgess, Thornton W. (Thornton Waldo)"
5,Mother West Wind's Children,"Burgess, Thornton W. (Thornton Waldo)"
6,Happy Jack,"Burgess, Thornton W. (Thornton Waldo)"
7,"Mother West Wind ""How"" Stories","Burgess, Thornton W. (Thornton Waldo)"
8,The Boy Scouts in A Trapper's Camp,"Burgess, Thornton W. (Thornton Waldo)"
9,The Burgess Animal Book for Children,"Burgess, Thornton W. (Thornton Waldo)"
10,The Adventures of Poor Mrs. Quack,"Burgess, Thornton W. (Thornton Waldo)"
11,The Adventures of Reddy Fox,"Burgess, Thornton W. (Thornton Waldo)"
12,Mother West Wind 'Why' Stories,"Burgess, Thornton W. (Thornton Waldo)"
13,The Adventures of Mr. Mocker,"Burgess, Thornton W. (Thornton Waldo)"
14,The Adventures of Peter Cottontail,"Burgess, Thornton W. (Thornton Waldo)"
15,Bowser the Hound,"Burgess, Thornton W. (Thornton Waldo)"
16,The Adventures of Lightfoot the Deer,"Burgess, Thornton W. (Thornton Waldo)"
17,Old Mother West Wind,"Burgess, Thornton W. (Thornton Waldo)"
18,Lightfoot the Deer,"Burgess, Thornton W. (Thornton Waldo)"
19,The Adventures of Unc' Billy Possum,"Burgess, Thornton W. (Thornton Waldo)"
20,"Mother West Wind ""When"" Stories","Burgess, Thornton W. (Thornton Waldo)"
21,The Adventures of Bob White,"Burgess, Thornton W. (Thornton Waldo)"
22,Old Granny Fox,"Burgess, Thornton W. (Thornton Waldo)"
23,The Adventures of Danny Meadow Mouse,"Burgess, Thornton W. (Thornton Waldo)"
24,The Adventures of Old Mr. Toad,"Burgess, Thornton W. (Thornton Waldo)"
25,The Adventures of Buster Bear,"Burgess, Thornton W. (Thornton Waldo)"
26,The Adventures of Paddy the Beaver,"Burgess, Thornton W. (Thornton Waldo)"
27,The Boy Scouts of Woodcraft Camp,"Burgess, Thornton W. (Thornton Waldo)"
28,The Adventures of Jimmy Skunk,"Burgess, Thornton W. (Thornton Waldo)"
29,Blacky the Crow,"Burgess, Thornton W. (Thornton Waldo)"
30,The Adventures of Grandfather Frog,"Burgess, Thornton W. (Thornton Waldo)"
31,Whitefoot the Wood Mouse,"Burgess, Thornton W. (Thornton Waldo)"
32,The Burgess Bird Book for Children,"Burgess, Thornton W. (Thornton Waldo)"
33,The Adventures of Chatterer the Red Squirrel,"Burgess, Thornton W. (Thornton Waldo)"
34,Mother West Wind's Animal Friends,"Burgess, Thornton W. (Thornton Waldo)"
35,The Adventures of Paddy Beaver,"Burgess, Thornton W. (Thornton Waldo)"
36,The Adventures of Sammy Jay,"Burgess, Thornton W. (Thornton Waldo)"
37,The Adventures of Bobby Coon,"Burgess, Thornton W. (Thornton Waldo)"
38,The Adventures of Jerry Muskrat,"Burgess, Thornton W. (Thornton Waldo)"
39,"Mother West Wind ""Where"" Stories","Burgess, Thornton W. (Thornton Waldo)"
40,The Earl of Beaconsfield,"Froude, James Anthony"
41,"The Reign of Henry the Eighth, Volume 1 (of 3)","Froude, James Anthony"
42,Short Studies on Great Subjects,"Froude, James Anthony"
43,Caesar: A Sketch,"Froude, James Anthony"
44,Bunyan,"Froude, James Anthony"
