,author,no_titles
0,"Abbott, Jacob",49
1,"Abbott, John S. C. (John Stevens Cabot)",28
2,"Adams, Samuel Hopkins",12
3,"Aimard, Gustave",30
4,"Ainsworth, William Harrison",19
5,"Alcott, Louisa May",40
6,"Alger, Horatio, Jr.",98
7,"Allen, Grant",28
8,"Allen, James Lane",12
9,"Altsheler, Joseph A. (Joseph Alexander)",34
10,"Andersen, H. C. (Hans Christian)",14
11,"Andreyev, Leonid",11
12,"Anstey, F.",18
13,"Arthur, T. S. (Timothy Shay)",30
14,"Ashton, John",17
15,"Atherton, Gertrude Franklin Horn",24
16,"Atkinson, William Walker",19
17,"Bacheller, Irving",16
18,Bahá'u'lláh,10
19,"Bailey, Arthur Scott",40
20,"Baldwin, James",10
21,"Ballantyne, R. M. (Robert Michael)",91
22,"Ballou, Maturin M. (Maturin Murray)",19
23,"Bangs, John Kendrick",34
24,"Barbour, Ralph Henry",41
25,"Baring-Gould, S. (Sabine)",56
26,"Barr, Amelia E.",26
27,"Barr, Robert",21
28,"Barrie, J. M. (James Matthew)",22
29,"Bassett, Sara Ware",15
30,"Bates, Arlo",12
31,"Baum, L. Frank (Lyman Frank)",63
32,"Beach, Rex",15
33,"Becke, Louis",16
34,"Belloc, Hilaire",22
35,"Bennett, Arnold",45
36,"Benson, Arthur Christopher",18
37,"Benson, E. F. (Edward Frederic)",45
38,"Benson, Robert Hugh",12
39,"Besant, Annie",17
40,"Besant, Walter",27
41,"Bierce, Ambrose",17
42,"Bindloss, Harold",44
43,"Birmingham, George A.",15
44,"Bjørnson, Bjørnstjerne",16
45,"Black, William",20
46,"Blackmore, R. D. (Richard Doddridge)",17
47,"Blackwood, Algernon",22
48,"Blanchard, Amy Ella",12
49,"Blasco Ibáñez, Vicente",14
50,"Bloundelle-Burton, John",14
51,"Boldrewood, Rolf",14
52,"Boothby, Guy",16
53,"Borrow, George",21
54,"Bowen, Marjorie",10
55,"Bowen, Robert Sidney",15
56,"Bower, B. M.",30
57,"Braddon, M. E. (Mary Elizabeth)",35
58,"Brady, Cyrus Townsend",12
59,"Brame, Charlotte M.",11
60,"Brand, Max",14
61,"Brandes, Georg",10
62,"Brazil, Angela",27
63,"Brinton, Daniel G. (Daniel Garrison)",15
64,"Brown, Alice",10
65,"Bruce, Mary Grant",10
66,"Buchan, John",16
67,"Buchanan, Robert Williams",20
68,"Buck, Charles Neville",11
69,"Burgess, Thornton W. (Thornton Waldo)",80
70,"Burnett, Frances Hodgson",27
71,"Burroughs, Edgar Rice",27
72,"Burroughs, John",20
73,"Burton, Richard Francis, Sir",18
74,"Butler, Ellis Parker",11
75,"Butler, Samuel",17
76,"Cabell, James Branch",11
77,"Cable, George Washington",14
78,"Caine, Hall, Sir",16
79,"Carey, Rosa Nouchette",11
