"","paper_no","author","term","n","total"
"1",43,"Madison","the",354,3426
"2",41,"Madison","the",334,3540
"3",47,"Madison","the",325,2739
"4",44,"Madison","the",313,2896
"5",46,"Madison","the",301,2614
"6",69,"Hamilton","the",301,2748
"7",70,"Hamilton","the",299,3296
"8",39,"Madison","the",298,2606
"9",40,"Madison","the",292,3014
"10",22,"Hamilton","the",288,3477
"11",63,"Disputed","the",288,3039
"12",45,"Madison","the",276,2116
"13",38,"Madison","the",269,3319
"14",36,"Hamilton","the",264,2948
"15",42,"Madison","the",260,2774
"16",10,"Madison","the",259,2999
"17",15,"Hamilton","the",249,3066
"18",66,"Hamilton","the",244,2221
"19",22,"Hamilton","of",236,3477
"20",18,"Joint","the",235,2087
"21",37,"Madison","the",228,2709
"22",43,"Madison","of",221,3426
"23",60,"Hamilton","the",221,2239
"24",29,"Hamilton","the",220,2239
"25",65,"Hamilton","the",218,2016
"26",69,"Hamilton","of",216,2748
"27",57,"Disputed","the",214,2206
"28",58,"Disputed","the",211,2080
"29",75,"Hamilton","the",206,1942
"30",19,"Joint","the",203,2021
"31",73,"Hamilton","the",203,2346
"32",7,"Hamilton","the",202,2255
"33",41,"Madison","of",202,3540
"34",54,"Disputed","the",202,1996
"35",14,"Madison","the",200,2150
"36",51,"Disputed","the",200,1914
"37",26,"Hamilton","the",199,2373
"38",15,"Hamilton","of",193,3066
"39",53,"Disputed","the",192,2164
"40",16,"Hamilton","the",191,2037
"41",36,"Hamilton","of",190,2948
"42",62,"Disputed","the",190,2382
"43",70,"Hamilton","of",190,3296
"44",38,"Madison","of",188,3319
"45",11,"Hamilton","the",186,2494
"46",35,"Hamilton","the",186,2251
"47",23,"Hamilton","the",185,1797
"48",47,"Madison","of",185,2739
"49",34,"Hamilton","the",184,2210
"50",52,"Disputed","the",184,1840
"51",21,"Hamilton","the",182,1993
"52",42,"Madison","of",182,2774
"53",67,"Hamilton","the",181,1637
"54",77,"Hamilton","the",181,1976
"55",55,"Disputed","the",180,2043
"56",6,"Hamilton","the",179,2131
"57",11,"Hamilton","of",178,2494
"58",49,"Disputed","the",176,1646
"59",72,"Hamilton","the",176,2039
"60",12,"Hamilton","the",175,2148
"61",59,"Hamilton","the",175,1899
"62",63,"Disputed","of",174,3039
"63",25,"Hamilton","the",173,1982
"64",71,"Hamilton","the",173,1706
"65",64,"Jay","the",172,2306
"66",40,"Madison","of",171,3014
"67",44,"Madison","of",169,2896
"68",9,"Hamilton","the",168,1976
"69",48,"Madison","the",167,1860
"70",76,"Hamilton","the",167,1931
"71",28,"Hamilton","the",164,1590
"72",30,"Hamilton","the",162,1964
"73",66,"Hamilton","of",162,2221
"74",17,"Hamilton","the",160,1564
"75",31,"Hamilton","the",160,1730
"76",46,"Madison","of",160,2614
"77",37,"Madison","of",157,2709
"78",6,"Hamilton","of",156,2131
"79",33,"Hamilton","the",156,1684
"80",7,"Hamilton","of",155,2255
"81",8,"Hamilton","the",155,1987
"82",10,"Madison","of",155,2999
"83",39,"Madison","of",155,2606
"84",9,"Hamilton","of",152,1976
"85",29,"Hamilton","of",152,2239
"86",21,"Hamilton","of",149,1993
"87",57,"Disputed","of",149,2206
"88",61,"Hamilton","the",149,1516
"89",32,"Hamilton","the",148,1483
"90",75,"Hamilton","of",147,1942
"91",26,"Hamilton","of",146,2373
"92",27,"Hamilton","the",144,1418
"93",22,"Hamilton","to",143,3477
"94",60,"Hamilton","of",143,2239
"95",62,"Disputed","of",143,2382
"96",56,"Disputed","the",142,1637
"97",77,"Hamilton","of",142,1976
"98",16,"Hamilton","of",141,2037
"99",45,"Madison","of",141,2116
"100",68,"Hamilton","the",140,1505
"101",12,"Hamilton","of",139,2148
"102",73,"Hamilton","of",138,2346
"103",20,"Joint","the",135,1518
"104",34,"Hamilton","of",135,2210
"105",24,"Hamilton","the",133,1820
"106",8,"Hamilton","of",132,1987
"107",18,"Joint","of",132,2087
"108",70,"Hamilton","to",132,3296
"109",36,"Hamilton","to",129,2948
"110",65,"Hamilton","of",129,2016
"111",35,"Hamilton","of",128,2251
"112",1,"Hamilton","the",127,1588
"113",53,"Disputed","of",126,2164
"114",25,"Hamilton","of",124,1982
"115",14,"Madison","of",122,2150
"116",19,"Joint","of",122,2021
"117",10,"Madison","and",121,2999
"118",55,"Disputed","of",120,2043
"119",40,"Madison","to",119,3014
"120",41,"Madison","to",118,3540
"121",72,"Hamilton","of",118,2039
"122",15,"Hamilton","to",116,3066
"123",38,"Madison","to",116,3319
"124",56,"Disputed","of",116,1637
"125",54,"Disputed","of",115,1996
"126",58,"Disputed","of",115,2080
"127",76,"Hamilton","of",114,1931
"128",29,"Hamilton","to",111,2239
"129",30,"Hamilton","of",111,1964
"130",43,"Madison","to",111,3426
"131",51,"Disputed","of",111,1914
"132",59,"Hamilton","of",110,1899
"133",17,"Hamilton","of",108,1564
"134",67,"Hamilton","of",108,1637
"135",34,"Hamilton","to",106,2210
"136",2,"Jay","the",105,1665
"137",24,"Hamilton","of",105,1820
"138",1,"Hamilton","of",103,1588
"139",31,"Hamilton","of",103,1730
"140",64,"Jay","and",103,2306
"141",74,"Hamilton","the",102,1000
"142",37,"Madison","and",101,2709
"143",35,"Hamilton","to",100,2251
"144",10,"Madison","to",99,2999
"145",40,"Madison","and",99,3014
"146",49,"Disputed","of",99,1646
"147",50,"Disputed","the",99,1101
"148",52,"Disputed","of",99,1840
"149",23,"Hamilton","of",98,1797
"150",48,"Madison","of",98,1860
"151",61,"Hamilton","of",98,1516
"152",72,"Hamilton","to",98,2039
"153",64,"Jay","of",97,2306
"154",22,"Hamilton","a",96,3477
"155",23,"Hamilton","to",96,1797
"156",42,"Madison","and",96,2774
"157",28,"Hamilton","of",95,1590
"158",71,"Hamilton","of",95,1706
"159",26,"Hamilton","to",94,2373
"160",38,"Madison","and",94,3319
"161",70,"Hamilton","in",94,3296
"162",43,"Madison","a",93,3426
